ก่อนเกิด,ช่วงเกิด,หลังเกิด
PBT,PPPBBPPPBB,TTB
TBB,TTBBBPPBBB,TBP
PBB,PPTTTPPTTT,PTT
TTT,BBTTTBBTTT,BPB
PBT,PPPBBTTTPP,TBP
TBT,BBPPPBBPPP,BTT
PTB,TTTPPBBBTT,BPB
TPP,BBPPPTTPPP,TPP
PBT,BBBPPBBBTT,PTB
,PPTTTPPTTT,BBP
PPT,BBBPPTTTBB,TBB
TTP,TTPPPTTBBB,TPP
BTB,TTTPPBBBPP,BPB
TBP,TTPPPBBTTT,BPP
BB,TTBBBPPTTT,BPP
TPB,PPPBBTTTPP,
BTT,BBTTTPPBBB,TBB
TBT,BBTTTPPBBB,TPP
TTB,PPBBBPPTTT,PBP
BBT,BBPPPBBPPP,TPP
,BBPPPTTPPP,BPT
TPB,TTTPPBBBPP,BPP
PT,BBTTTPPBBB,PTB
BPT,BBTTTBBTTT,BPT
TPT,BBTTTBBTTT,PTB
PBB,PPTTTPPBBB,TPP
BBP,BBPPPTTBBB,PBB
TTT,BBBPPBBBPP,BPB
PPT,PPBBBTTBBB,PTP
TTB,TTTBBPPPBB,TPP
BPT,PPTTTPPTTT,PPP
TBP,BBTTTBBTTT,PBT
PPP,TTTBBPPPBB,PPT
PBP,TTTPPBBBPP,TTP
BBP,BBTTTPPBBB,TBP
BBP,TTTBBTTTBB,PTP
TPB,PPBBBPPTTT,PTT
BTP,BBBTTPPPBB,PTB
B,PPPBBPPPTT,PPP
PBB,TTBBBTTBBB,PTB
BPB,TTPPPTTBBB,TTP
PTP,BBPPPTTPPP,TBT
B,TTTBBPPPTT,BBB
PBT,PPPTTBBBPP,BBT
BBB,PPPBBPPPTT,BT
PPB,TTTBBPPPBB,PPT
PBB,PPTTTBBTTT,PTB
BBT,BBBTTBBBPP,BPB
BBT,PPTTTBBTTT,BPT
PPB,PPPBBPPPBB,PP
BTB,PPBBBPPBBB,TTB
TPT,PPTTTBBPPP,BTB
TPP,BBTTTBBTTT,PPB
TTP,BBPPPTTBBB,TTB
PPP,TTBBBPPTTT,BBB
PBT,BBBTTPPPTT,PBB
BBP,BBPPPTTPPP,TPP
BPB,PPPBBTTTPP,BPP
PTP,BBTTTBBTTT,PTP
PBB,TTBBBPPBBB,PTP
BTT,PPTTTPPBBB,PTB
PPB,PPPBBPPPBB,TPT
BTP,TTPPPTTPPP,
BPT,PPBBBTTPPP,BTB
PTP,BBBTTPPPTT,PTP
PBP,TTTBBPPPTT,PBB
TPB,TTTPPBBBPP,TTP
BTP,BBBPPBBBPP,TTT
BP,BBPPPTTBBB,PTT
PBT,BBBTTBBBPP,BTT
BPB,TTTPPBBBPP,BPB
BPP,TTPPPTTBBB,PTT
PPT,PPPBBTTTBB,PTP
BTT,PPBBBTTBBB,TTB
BPT,PPBBBPPBBB,PB
TPP,BBTTTPPTTT,PTB
BPB,PPBBBTTBBB,PTB
PPP,TTBBBTTPPP,TBT
,TTTPPTTTBB,TTT
PBP,TTBBBPPBBB,TPT
BTB,TTTPPBBBTT,BTP
TPT,PPBBBPPTTT,PTT
BTP,BBBPPTTTBB,PBP
PBP,BBPPPBBTTT,PPT
BPB,TTPPPBBTTT,PPT
TBP,BBPPPBBPPP,
BPT,BBPPPBBPPP,TBT
BTP,TTTBBTTTBB,PPT
PTB,TTTPPBBBPP,BPB
BPP,TTBBBPPBBB,TBT
TBT,PPTTTPPBBB,TPT
BBT,PPPBBPPPTT,BP
T,BBTTTBBTTT,PBT
BTB,PPTTTPPBBB,PBT
TBB,PPTTTBBPPP,TTB
PBP,BBPPPTTBBB,PBB
BBP,TTBBBTTPPP,BPP
PPP,BBBTTPPPTT,BBP
PTB,PPPBBTTTBB,TBT
BPB,PPBBBPPTTT,BTP
PBT,PPTTTBBTTT,PBP
PTT,PPBBBTTPPP,BTP
PPT,BBPPPBBPPP,BTB
TPT,PPPTTBBBTT,PPB
TPT,BBPPPTTPPP,BBB
BTP,BBBPPBBBPP,
PPB,PPPBBPPPBB,PPT
PTB,PPTTTBBPPP,TPB
BP,BBTTTPPBBB,PBB
PPT,PPTTTPPBBB,PPT
BBT,PPBBBPPBBB,TPP
TBP,BBBTTBBBTT,BBP
PBT,PPTTTBBPPP,B
PPP,BBBTTBBBTT,BTT
BPB,PPPTTPPPTT,PBT
TPT,PPPBBPPPBB,PBB
TTP,TTPPPTTPPP,TBT
BTT,BBTTTBBTTT,PPT
BPB,TTTBBTTTPP,TBP
TPB,TTBBBPPBBB,TBT
BBT,BBBPPTTTBB,TTP
PBP,TTTBBTTTBB,TBP
BBB,PPTTTBBTTT,BPB
BPT,BBBTTPPPTT,BTT
PBT,BBTTTPPTTT,BPT
TTP,TTPPPBBPPP,BTP
TTP,TTTBBTTTBB,TPP
PBT,BBBPPBBBPP,TBP
BPT,PPPBBTTTBB,
BBP,TTTBBTTTPP,BBT
BTP,TTTPPBBBTT,BPT
TPT,PPPBBTTTBB,PTP
TPB,PPPTTBBBPP,BPP
PPP,TTBBBPPBBB,PPP
TBB,TTPPPBBTTT,B
BBT,BBBPPBBBTT,BPP
BPT,BBBPPTTTBB,TPP
PTP,TTTBBTTTBB,TBB
PPP,BBPPPTTBBB,TTB
BPT,PPPBBTTTBB,TTB
PPP,BBBPPTTTPP,TBT
PTP,TTTPPTTTPP,TBP
PBP,TTTPPBBBTT,BTP
PPB,PPPTTPPPBB,PPB
TTB,TTTPPBBBTT,BBP
BPB,PPPBBPPPTT,PP
PT,PPPTTBBBTT,PBT
BPP,TTBBBTTPPP,TPT
TTT,PPPBBPPPBB,PTB
TTP,TTTBBPPPBB,PBT
TBT,PPTTTBBPPP,BTT
BTB,PPPTTPPPTT,BTT
PPT,BBTTTBBTTT,BBT
BTB,PPPTTBBBTT,BTP
BPB,PPBBBPPTTT,PTP
PTP,BBTTTPPTTT,PBB
PTP,TTTBBTTTBB,TBP
PPT,PPBBBPPTTT,BBT
PBT,BBBTTBBBPP,TTT
TPB,TTTBBTTTBB,PTP
TPB,PPBBBPPTTT,BTP
BTP,TTBBBTTBBB,PPT
BBT,BBPPPBBPPP,BPT
PBP,BBBPPBBBPP,BTP
PTT,PPBBBPPBBB,TPB
BBT,BBPPPTTBBB,PPT
TTT,BBBPPBBBTT,PTB
PTB,TTTPPTTTBB,PTB
BPT,BBBTTBBBPP,BBP
TTT,PPPBBPPPBB,PBP
TTB,TTBBBTTBBB,TPB
PPT,PPPBBTTTBB,TPB
TPT,PPBBBTTBBB,TBB
BPT,BBTTTPPTTT,BTP
TPB,TTTBBTTTBB,TBB
TTP,TTTBBTTTPP,TTP
BPT,BBBPPBBBTT,BBT
TTP,TTTPPBBBTT,BPP
TPP,BBTTTBBTTT,BBT
BPP,BBPPPTTBBB,TPT
PPB,TTPPPBBTTT,BPP
BPT,PPTTTBBPPP,BPB
TBP,BBBTTPPPBB,TTP
TBT,PPBBBPPBBB,TTB
TTP,BBBTTPPPBB,PBB
PPP,TTTBBTTTPP,TBP
PPT,PPBBBPPBBB,PTT
TTP,TTTBBPPPBB,TBB
TTB,TTTBBTTTBB,PTT
BBP,BBBPPTTTBB,PBT
TBP,TTTBBTTTBB,PTB
BTB,TTBBBPPBBB,TP
BBB,TTBBBTTBBB,TBT
PTT,BBPPPBBPPP,TBT
BPB,TTBBBPPBBB,TTP
BPB,PPPTTBBBTT,BPB
TB,TTPPPBBTTT,BBP
PBP,TTTBBPPPTT,PTB
TPB,TTPPPBBTTT,PPB
TTB,PPPBBPPPTT,PTT
PBP,BBTTTBBPPP,BBB
TBT,PPPBBPPPTT,PTT
BPB,PPBBBTTBBB,PPB
PBB,TTPPPBBPPP,BPB
BTB,PPTTTPPTTT,BPP
PPP,BBPPPTTPPP,TTB
PBT,PPBBBTTPPP,TBB
PBB,TTPPPBBPPP,TTB
PPB,PPPTTBBBPP,TBP
BBP,BBPPPTTBBB,PPB
PBT,BBBTTBBBTT,PBP
TBP,TTTBBPPPBB,PPT
PPT,PPPTTPPPTT,PTP
PBT,PPBBBPPBBB,PBB
TP,BBBTTPPPTT,BBB
PPB,TTTBBPPPTT,BBP
TBP,BBPPPBBPPP,BPB
PPB,PPPBBPPPTT,BTT
BPB,PPPBBPPPTT,BPP
BTT,PPBBBTTBBB,TTP
TTB,TTTBBPPPBB,T
,BBBPPTTTPP,BBT
BBB,TTTBBPPPTT,BTB
BBT,PPBBBPPBBB,PPB
TTB,PPBBBTTBBB,TPP
PBT,PPPBBTTTPP,TTB
TPB,TTTBBPPPBB,PBB
TPT,BBBTTBBBTT,BTB
TBT,PPPBBTTTPP,BPP
BBT,PPPBBTTTBB,PP
PTB,TTPPPBBTTT,BBT
BBP,TTBBBPPBBB,PBB
BBP,TTTBBTTTPP,BTB
PBT,BBTTTPPTTT,BBP
BBP,BBPPPBBTTT,BBT
BTT,PPTTTBBPPP,TTB
BPT,PPTTTBBTTT,PBT
PPT,BBBTTPPPBB,
BTB,TTTBBTTTPP,TPP
TTP,BBBTTPPPTT,BBB
TBP,BBBPPTTTBB,PBT
TPT,BBBTTBBBPP,BBT
TTT,BBBTTPPPBB,PTP
PTP,BBBPPTTTBB,TTP
PPP,BBBPPTTTPP,BTT
PBT,BBTTTBBPPP,TPT
PBP,BBPPPTTBBB,TBT
BPB,PPPTTPPPTT,BBT
PTB,PPBBBTTPPP,BPT
PPB,PPPTTPPPTT,BTP
PPB,PPBBBPPTTT,PPT
BB,PPBBBPPBBB,PTB
PBB,TTBBBTTBBB,TPT
PPT,BBPPPBBTTT,PBB
TBT,BBBTTPPPBB,PPB
BTT,PPTTTPPTTT,PTB
PPP,BBTTTPPBBB,PPT
TBP,BBBPPTTTBB,TTT
BTB,TTTBBPPPTT,
TPT,BBBPPTTTPP,TPP
BPT,PPBBBPPTTT,BPT
BBP,BBPPPTTPPP,TTT
BPB,PPPTTPPPBB,TTT
BBT,BBBPPBBBTT,PBT
BBT,PPPBBPPPTT,PPT
BBT,BBBPPBBBTT,PPT
B,TTTPPBBBPP,BBB
BPP,BBPPPBBTTT,BBP
BBP,BBTTTPPBBB,PPP
TTB,TTTPPTTTPP,
TPP,TTPPPBBPPP,BTB
TTT,BBBTTBBBTT,PBB
BBP,BBBPPBBBPP,BTP
TTB,TTTPPTTTPP,TBB
PTP,BBPPPBBTTT,BPB
PPT,PPPBBPPPTT,P
PTB,TTPPPBBPPP,BPT
PTP,BBPPPBBTTT,PTP
PTP,BBBPPBBBPP,BPB
PB,PPBBBTTPPP,TTB
PPT,PPPBBTTTPP,TPB
TBB,TTBBBPPBBB,TBB
TTP,BBBPPBBBPP,TBB
PBT,BBPPPBBTTT,BPP
BTB,PPTTTBBTTT,PPP
TTB,PPBBBTTBBB,TPB
BTP,TTPPPTTBBB,TTP
,PPTTTBBPPP,BPB
TBT,PPPTTPPPBB,TTP
TPB,PPTTTPPBBB,PTT
TPT,BBPPPTTBBB,TPP
BPB,PPPBBPPPTT,BT
PPB,PPBBBTTPPP,TPT
BTB,PPPBBPPPTT,PBB
BTT,BBTTTBBTTT,BPB
TPT,BBBPPBBBPP,TBP
PPP,BBTTTPPTTT,BPT
TTB,TTBBBTTPPP,BBB
BTT,PPTTTPPTTT,PBP
PPP,BBBTTBBBPP,BPT
BPT,BBBTTBBBTT,BTP
PPB,PPPBBTTTPP,BTT
PPT,BBBTTBBBPP,BTB
BTP,BBBTTBBBPP,BPB
PTB,TTTBBTTTBB,TPT
PPP,TTBBBPPBBB,TTB
BTP,TTTPPBBBTT,BBP
TTB,TTBBBPPTTT,PPP
PBP,TTPPPBBTTT,BPT
,PPPBBPPPBB,TTB
PTB,PPPTTBBBPP,BPB
TBT,BBPPPTTPPP,TTB
TTB,PPPBBTTTPP,TTT
TBT,PPPBBTTTBB,T
TBT,PPTTTBBTTT,BBT
BBT,BBBTTPPPTT,BBP
PTP,TTBBBTTPPP,BPB
BTB,TTPPPTTBBB,TPT
BTB,TTPPPTTBBB,
,TTBBBTTPPP,TTB
TTT,PPPTTBBBTT,PBB
BTT,PPTTTPPTTT,BPP
PBP,BBBTTPPPBB,TTB
TTP,BBBTTBBBTT,PTP
TPT,BBTTTBBTTT,BBP
BPT,PPPBBTTTBB,PTP
PTP,TTTPPBBBPP,BTB
PBT,BBTTTBBPPP,BPT
BBP,TTTPPBBBPP,TTP
BPB,TTBBBPPTTT,PTB
TPB,TTPPPTTPPP,TPT
PPB,PPPTTPPPBB,PTB
TPB,PPBBBTTBBB,TBB
BTT,BBPPPBBPPP,TBB
BTB,PPPTTBBBTT,PTP
TTT,PPBBBPPBBB,PPT
PPB,TTTBBTTTPP,BTB
,BBPPPBBTTT,PTP
BTP,TTBBBTTPPP,BPP
BBP,BBBPPTTTBB,TPP
TTP,TTPPPTTBBB,PTP
BPT,PPTTTPPTTT,BTT
BPP,BBTTTBBPPP,TTB
TTB,TTTPPTTTBB,PPT
BTP,TTPPPBBTTT,BPT
TTT,PPBBBPPTTT,BPT
BBP,BBBTTBBBTT,PBB
TPT,BBBPPTTTBB,TBB
BTP,TTTBBPPPBB,PTP
PBP,TTPPPTTBBB,PTP
TTP,BBTTTBBTTT,PPB
TBB,TTPPPBBTTT,PBP
PTB,TTBBBTTPPP,TBT
BBT,PPTTTPPTTT,PTT
PTP,BBTTTPPBBB,TTB
BTB,TTBBBPPTTT,PTT
TTP,BBTTTPPBBB,TBT
TTT,PPPTTBBBTT,BBP
TPP,BBPPPTTPPP,TTB
PPB,TTBBBPPTTT,
B,TTBBBTTPPP,BBT
PBT,BBTTTBBTTT,BTP
PPP,BBBTTBBBPP,TTP
,PPPBBPPPTT,PBB
BTP,TTTPPTTTPP,BPB
BBB,TTTPPBBBTT,BBB
PPB,PPPBBPPPTT,PPT
TPT,BBTTTPPTTT,
BP,BBBPPBBBTT,PPT
PPB,PPPTTBBBPP,BBT
TTB,PPBBBTTPPP,BPP
TBT,PPTTTPPBBB,PPP
BPT,BBBTTPPPBB,PPT
P,TTTBBTTTPP,TPB
TTP,TTBBBTTPPP,TBT
PPT,BBBTTPPPBB,PPB
PBP,BBTTTPPTTT,PTP
BBP,BBTTTBBPPP,BBP
BPT,BBBTTPPPTT,BPP
PB,TTBBBPPTTT,PPT
BPB,PPTTTPPBBB,PPB
TBT,PPPBBPPPBB,PBB
,PPPTTBBBPP,TBP
TTP,BBTTTBBPPP,BTT
PPT,PPPBBPPPBB,TTB
TTP,TTTBBPPPBB,PTT
PTP,BBPPPTTBBB,PBP
BPB,PPPTTPPPTT,PPT
BBT,BBBPPTTTPP,TBP
PPB,PPPBBTTTPP,TPP
PPP,BBBTTPPPTT,BPT
TPT,PPPBBPPPTT,BTP
PTB,PPTTTBBPPP,TTB
BPT,PPBBBTTBBB,PBB
BPB,TTTBBPPPTT,BTP
BTT,BBPPPBBPPP,TPB
PTB,TTBBBPPBBB,TTT
BPT,PPPBBTTTBB,TTT
PPB,PPTTTPPTTT,PBT
PTP,BBTTTPPBBB,PPT
TTB,TTTBBTTTPP,BTT
BBP,TTPPPBBTTT,PBP
PBT,PPPTTBBBTT,PPT
BPB,PPTTTBBPPP,BPT
TTB,PPBBBTTBBB,TTT
BTB,PPPTTBBBTT,BBT
BTP,TTTBBPPPBB,TTP
PPP,TTBBBTTPPP,TBP
PBP,BBBTTBBBPP,BPT
BBP,BBBPPTTTBB,PTP
BBT,PPTTTPPTTT,PBT
BBP,TTPPPTTBBB,PPT
BPP,TTBBBPPTTT,PBB
PPB,PPPTTBBBTT,BBP
BPT,BBBPPTTTBB,PTT
BBT,PPTTTPPBBB,TTP
TTP,TTTBBPPPBB,TTP
,BBBPPBBBPP,BBP
BPT,PPBBBPPBBB,PTB
TBT,PPPBBPPPBB,PBT
PPT,BBPPPBBTTT,
BTB,TTTBBPPPTT,BBT
PTB,TTTPPBBBTT,BPT
T,PPPTTPPPTT,BPT
BBP,TTBBBTTBBB,PBB
PPB,PPTTTBBTTT,BBT
BTT,BBPPPBBPPP,TBP
TPT,PPPBBTTTBB,TPP
BBB,TTTBBTTTBB,PTT
TTT,PPPBBTTTPP,TPB
PBP,BBBPPTTTBB,TTT
TPB,TTPPPTTBBB,PBP
BTP,TTTBBTTTBB,TPB
TTT,BBBTTBBBPP,TBB
,TTTBBTTTPP,BBP
TPT,PPTTTBBTTT,BPP
BBT,PPPTTPPPBB,TTB
TBP,BBPPPTTBBB,PBT
BTP,BBPPPTTPPP,BBT
TBT,PPTTTPPBBB,TBP
BTT,BBTTTPPTTT,PPP
BPB,PPPTTBBBTT,PBP
BPB,PPBBBPPTTT,PBT
PTT,PPBBBTTBBB,PTP
TTB,TTBBBTTBBB,PBB
TTP,BBBPPBBBTT,BPT
TPP,TTPPPBBPPP,BPP
PTB,PPBBBTTBBB,PBB
TBT,BBPPPTTPPP,BTB
,TTTBBPPPTT,BPP
BBP,BBBTTBBBPP,B
BBP,BBBTTPPPTT,PTP
TPT,PPBBBPPBBB,PPP
TBP,TTPPPTTBBB,TPT
TBP,TTTBBTTTPP,BTB
BPB,PPBBBPPTTT,BBP
BPB,TTTBBPPPTT,BT
TBP,TTBBBTTBBB,TBP
TTB,PPTTTPPTTT,BBT
PPT,PPPTTPPPTT,PPP
PBT,BBPPPTTBBB,PTP
PPB,TTPPPBBPPP,BBB
TTT,PPPBBPPPBB,TPB
BBP,BBBPPBBBTT,PTT
TPB,PPPBBTTTPP,TPB
PBT,BBPPPTTPPP,TBP
BBB,PPPBBPPPBB,PPB
BPP,TTBBBPPBBB,PTB
PBP,TTPPPTTPPP,BBT
PPT,PPTTTBBTTT,BBT
PPT,PPPTTPPPBB,TPB
BBB,PPPBBPPPTT,BBT
,BBBTTPPPBB,PBT
PBT,PPTTTBBPPP,TBT
TBB,PPTTTBBPPP,TBB
PBP,BBTTTPPTTT,BPP
PPT,BBPPPTTPPP,TTP
PBP,TTTBBTTTPP,TTB
BPT,BBTTTBBPPP,TBP
BTP,TTTPPBBBPP,TPP
PBT,BBBTTPPPBB,PTB
TPT,BBBPPBBBPP,BPP
PBT,PPPBBTTTBB,PPB
TTB,TTPPPTTBBB,PBT
TTB,TTBBBPPBBB,TPB
TBT,BBBPPTTTBB,TPB
TTP,TTTBBPPPBB,TTT
TBT,PPBBBTTPPP,BPP
TPT,BBTTTPPBBB,PBP
PTB,PPTTTPPTTT,PTB
PPT,BBTTTBBPPP,BBB
TBB,PPBBBTTBBB,TTP
TPT,BBBTTPPPBB,TBP
PPB,TTTPPTTTPP,TPT
BBP,BBBTTBBBPP,BPP
BBT,BBBPPTTTPP,TPB
BPB,PPBBBPPBBB,PTP
TPP,TTPPPBBPPP,BBT
PBT,PPTTTBBPPP,TPB
PTB,TTPPPBBPPP,TBT
TPB,PPPBBTTTBB,TPT
PBP,TTTBBTTTPP,TPB
BPP,TTBBBTTPPP,TBB
BBT,PPBBBTTPPP,BTT
PPT,BBBPPBBBTT,BTT
PPB,TTTPPBBBPP,BBT
TBP,TTTBBTTTBB,PPT
PPB,PPTTTPPTTT,PPB
PBT,BBBPPTTTPP,BB
BBP,TTPPPBBTTT,PBT
TTP,BBTTTPPBBB,TPB
TPT,PPPTTBBBPP,TBT
PPB,PPPTTBBBPP,TP
PPT,PPTTTBBPPP,B
BPP,TTPPPBBTTT,PTP
,PPTTTBBTTT,BTB
PPP,TTTPPBBBTT,BBB
BPT,BBTTTPPTTT,BBT
TBT,BBTTTBBPPP,TTB
BBB,PPPTTPPPBB,TTT
BPB,TTTPPBBBPP,TTT
PBT,PPPTTPPPTT,BPP
PPB,TTTPPTTTBB,PTB
PTB,PPBBBPPBBB,P
BPB,TTPPPBBPPP,BPP
BTB,TTBBBPPBBB,TPP
BPB,TTPPPBBPPP,BBT
BTP,TTTPPTTTBB,PBP
BTT,PPBBBTTPPP,TTB
BBB,TTTBBTTTBB,PTP
BPT,PPPTTBBBPP,TTT
PPB,TTBBBPPTTT,BPT
PBP,BBPPPTTPPP,BPT
PTP,TTPPPBBPPP,TPB
BPB,PPTTTBBPPP,BTP
PBT,PPPTTPPPTT,PBP
PT,BBBTTPPPTT,BPT
TPT,PPPTTBBBTT,PBP
PBT,BBBPPTTTBB,PTB
PBB,TTPPPBBTTT,PPT
BBB,TTPPPBBTTT,BPP
BBP,TTBBBPPTTT,BTB
TPT,BBTTTPPTTT,BTB
PPT,BBPPPTTBBB,TPT
TTB,PPPTTPPPBB,PPP
TTB,PPPTTPPPBB,TTT
PTT,PPBBBTTBBB,PPP
BBP,BBPPPBBPPP,TPP
TTP,TTBBBPPBBB,TBP
TTT,PPTTTBBTTT,BPT
PBT,PPPBBTTTPP,BBP
T,BBPPPBBPPP,TBT
PTP,BBTTTBBTTT,PBT
TBB,PPBBBPPTTT,PTB
PTP,TTTBBPPPTT,PPP
TTB,PPBBBPPTTT,PBB
PTP,TTBBBTTBBB,TTB
BBP,TTTBBTTTBB,TBP
TPB,PPTTTBBPPP,BP
BTT,BBTTTPPTTT,PPT
PBB,PPBBBPPTTT,PTB
PBP,TTPPPBBTTT,PTT
BBB,TTTPPBBBPP,TBP
PTP,TTTPPBBBTT,PBB
PPP,BBBTTPPPTT,PBT
T,PPPBBTTTBB,TPP
PBB,TTBBBPPBBB,TTP
BPB,TTPPPTTBBB,TBB
PPP,TTPPPTTPPP,TBB
BPT,BBBPPBBBTT,PPT
BTB,PPPBBTTTBB,PBB
BTP,BBPPPTTBBB,PTP
BTP,TTTPPTTTBB,TP
TBB,PPBBBPPTTT,BPB
TBT,BBBPPTTTBB,PTP
TPP,BBPPPBBPPP,TTT
PBB,PPBBBTTPPP,B
PTP,BBBPPBBBPP,TTB
T,BBBTTPPPTT,PBT
BTT,BBPPPTTBBB,PTB
PPB,TTPPPTTPPP,BBP
PTB,PPTTTBBTTT,BTT
PPB,PPPBBPPPBB,PPB
TPT,PPPTTBBBPP,TBB
BTP,TTTBBPPPBB,TBB
PBP,BBBPPTTTBB,TBB
TTB,TTBBBPPBBB,TTB
PBP,TTTPPBBBPP,BBT
TBT,PPTTTBBPPP,TTP
TTT,BBBTTPPPTT,BBB
PB,PPTTTBBTTT,BBP
BTP,TTTBBTTTPP,BPP
BBB,TTTBBPPPBB,TBB
PBP,BBPPPTTBBB,TBB
TTT,BBBTTPPPTT,BBP
T,BBBPPBBBPP,TTB
BTB,PPTTTBBTTT,BPT
PBB,TTBBBTTBBB,TBB
BBP,BBBTTBBBPP,BTB
BTB,PPBBBTTBBB,PBB
TPB,TTTPPBBBTT,BTT
BBP,TTTPPBBBPP,TBP
TTP,TTBBBPPTTT,PBB
PPT,BBBPPBBBTT,PBB
TBB,PPBBBPPBBB,TPP
BPB,TTBBBTTPPP,TBP
BBP,BBBTTPPPTT,BPP
PBP,TTTBBPPPTT,BTT
PPB,TTTPPBBBTT,BTP
TP,TTTPPBBBPP,TPP
PBP,BBBPPTTTPP,TPB
PPT,BBBPPTTTPP,BBT
TTB,PPPTTPPPTT,BBP
PBP,TTTBBTTTBB,TTB
TBB,PPTTTPPBBB,TPB
,TTPPPBBPPP,TTP
PTP,TTPPPTTBBB,TBP
PBT,PPPBBPPPTT,BBP
BPT,PPBBBTTBBB,TPT
PPT,BBTTTBBTTT,PBT
BTP,BBBPPBBBPP,BTB
TTB,PPTTTPPTTT,PBB
PTP,BBPPPBBPPP,TTP
BBT,BBPPPBBPPP,BBT
PPT,BBBTTBBBTT,PBT
TTB,TTPPPTTPPP,TTB
TPP,TTPPPTTBBB,PBB
BTP,TTTBBTTTBB,PTT
TBP,BBPPPTTBBB,TBB
BBP,BBTTTPPBBB,TTB
BPP,BBTTTBBPPP,TPT
PBP,TTPPPBBTTT,PPP
TPB,PPPBBPPPTT,PTP
PBP,BBPPPBBPPP,BPT
BPT,BBBTTBBBPP,BBT
PBT,PPPBBTTTBB,TTT
PPT,PPPBBPPPBB,TTT
BPB,PPBBBTTPPP,TPB
BPB,PPBBBPPTTT,PTB
TPT,BBTTTBBTTT,PBT
PBB,TTPPPTTBBB,TTT
PBT,PPTTTPPTTT,PTT
PBP,BBBPPBBBPP,TTT
PPT,PPPTTPPPTT,PTB
TPB,TTPPPTTBBB,PPB
P,BBPPPBBPPP,TTB
PPB,TTTBBTTTBB,PBB
PTB,PPPTTBBBTT,BPT
BBT,PPBBBPPBBB,PPT
BTB,TTTPPBBBTT,BBP
PBP,BBTTTPPBBB,P
PTP,TTTPPBBBPP,BTP
BBP,TTPPPTTPPP,BTB
TTT,PPPTTBBBPP,TBT
BBP,BBBPPBBBPP,TBP
PTB,TTTPPBBBTT,BBP
PPP,BBBPPBBBTT,BPP
PPT,PPPBBPPPBB,TBP
PTB,PPPTTPPPBB,PPT
TPT,PPTTTBBPPP,TBT
BTT,PPTTTPPTTT,BTT
PBT,PPBBBPPTTT,BBP
BPB,TTBBBTTBBB,TTB
BTB,PPTTTBBPPP,BBB
BBB,PPPBBPPPBB,PTT
PTP,BBBTTBBBPP,BPT
BBP,TTTPPBBBTT,BPT
TBT,PPPTTPPPTT,BBB
PPB,TTPPPTTBBB,TTP
BBT,PPBBBTTPPP,BPB
TTT,BBBTTPPPTT,PPP
PPP,BBBTTBBBTT,PTB
BPT,PPPBBTTTPP,TTT
BPP,TTBBBTTBBB,TTT
BBT,BBPPPBBTTT,BTB
,BBBPPBBBTT,PBT
,TTTBBTTTPP,TPT
TPB,TTTBBTTTBB,TPB
TPT,PPPTTBBBTT,BBT
PBP,TTTBBPPPBB,PBB
BBT,PPPTTPPPTT,
PBT,PPBBBPPBBB,TPB
BBB,TTBBBTTBBB,PPP
PPT,PPBBBPPTTT,PPB
BBT,BBBPPBBBPP,TTT
BPB,TTBBBPPBBB,TTB
TTB,PPPTTBBBPP,BPT
TBT,PPPTTBBBTT,
BPP,BBPPPBBTTT,BPP
PBB,TTPPPBBPPP,TTP
TPB,PPTTTPPTTT,P
PPT,BBTTTBBPPP,BTT
PTP,BBBTTPPPBB,PPT
PBP,BBBTTBBBTT,BTT
BBP,BBPPPTTBBB,PBT
PTT,PPTTTBBPPP,BBP
TTT,BBBPPBBBTT,BBT
PPB,TTPPPBBPPP,BBT
BBP,BBPPPBBTTT,PTT
TBB,TTPPPBBPPP,BTB
PPP,TTTBBPPPBB,TBB
TBT,BBBPPTTTPP,BPB
BPB,PPBBBPPBBB,TTT
PBP,BBPPPBBPPP,BBB
BPB,TTPPPTTBBB,PBB
BTP,BBBTTPPPTT,PPB
TTB,PPPBBPPPBB,PBB
TBT,BBPPPBBPPP,BPP
TBT,BBTTTPPTTT,PTT
TPB,PPBBBPPTTT,PBB
BBT,BBBTTBBBPP,BTT
PTT,BBPPPTTPPP,BPT
,BBPPPBBPPP,BPB
BBP,TTBBBPPTTT,PPB
PPP,BBTTTPPBBB,PTT
P,BBTTTBBPPP,TBB
TPB,PPTTTBBTTT,BTP
PPB,TTPPPTTBBB,TBT
PTP,TTTBBTTTPP,BP
BPT,PPPTTBBBTT,BBP
PTP,TTBBBPPTTT,PTP
TTB,PPTTTBBPPP,TTP
PTB,TTTPPBBBTT,PBP
PTB,PPTTTBBTTT,PTT
PPP,BBBPPTTTBB,PBB
BPB,PPPBBTTTPP,BPT
BBB,PPPBBPPPTT,BPT
PBP,TTTBBTTTBB,TTT
PTT,BBPPPTTPPP,BTP
PBB,TTPPPTTBBB,TTB
TBB,TTBBBTTPPP,TPP
PPB,TTPPPBBTTT,BBP
,PPPBBPPPBB,PTT
BPP,TTPPPTTPPP,TTB
PBP,TTTBBTTTPP,TTT
PBB,TTBBBTTBBB,TTB
PBT,BBTTTPPBBB,TPT
PTB,PPPTTPPPTT,PBP
PTB,TTBBBPPBBB,TPP
PPT,BBPPPTTBBB,PPP
PTP,BBBTTPPPTT,BPB
TBT,BBTTTPPBBB,TTT
PBT,PPPBBTTTPP,TPB
BPB,PPPBBTTTPP,BPB
